id,filename,class
0,mfcc_generated/2024-03-14--22-04-16/0-mfcc.npy,-1
1,mfcc_generated/2024-03-14--22-04-16/1-mfcc.npy,-1
2,mfcc_generated/2024-03-14--22-04-16/2-mfcc.npy,-1
3,mfcc_generated/2024-03-14--22-04-16/3-mfcc.npy,-1
4,mfcc_generated/2024-03-14--22-04-16/4-mfcc.npy,-1
5,mfcc_generated/2024-03-14--22-04-16/5-mfcc.npy,-1
6,mfcc_generated/2024-03-14--22-04-16/6-mfcc.npy,-1
7,mfcc_generated/2024-03-14--22-04-16/7-mfcc.npy,-1
8,mfcc_generated/2024-03-14--22-04-16/8-mfcc.npy,-1
9,mfcc_generated/2024-03-14--22-04-16/9-mfcc.npy,-1
10,mfcc_generated/2024-03-14--22-04-16/10-mfcc.npy,-1
11,mfcc_generated/2024-03-14--22-04-16/11-mfcc.npy,-1
12,mfcc_generated/2024-03-14--22-04-16/12-mfcc.npy,-1
13,mfcc_generated/2024-03-14--22-04-16/13-mfcc.npy,-1
14,mfcc_generated/2024-03-14--22-04-16/14-mfcc.npy,-1
15,mfcc_generated/2024-03-14--22-04-16/15-mfcc.npy,-1
16,mfcc_generated/2024-03-14--22-04-16/16-mfcc.npy,-1
17,mfcc_generated/2024-03-14--22-04-16/17-mfcc.npy,-1
18,mfcc_generated/2024-03-14--22-04-16/18-mfcc.npy,-1
19,mfcc_generated/2024-03-14--22-04-16/19-mfcc.npy,-1
20,mfcc_generated/2024-03-14--22-04-16/20-mfcc.npy,-1
21,mfcc_generated/2024-03-14--22-04-16/21-mfcc.npy,-1
22,mfcc_generated/2024-03-14--22-04-16/22-mfcc.npy,-1
23,mfcc_generated/2024-03-14--22-04-16/23-mfcc.npy,-1
24,mfcc_generated/2024-03-14--22-04-16/24-mfcc.npy,-1
25,mfcc_generated/2024-03-14--22-04-16/25-mfcc.npy,-1
26,mfcc_generated/2024-03-14--22-04-16/26-mfcc.npy,-1
27,mfcc_generated/2024-03-14--22-04-16/27-mfcc.npy,-1
28,mfcc_generated/2024-03-14--22-04-16/28-mfcc.npy,-1
29,mfcc_generated/2024-03-14--22-04-16/29-mfcc.npy,-1
30,mfcc_generated/2024-03-14--22-04-16/30-mfcc.npy,-1
31,mfcc_generated/2024-03-14--22-04-16/31-mfcc.npy,-1
32,mfcc_generated/2024-03-14--22-04-16/32-mfcc.npy,-1
33,mfcc_generated/2024-03-14--22-04-16/33-mfcc.npy,-1
34,mfcc_generated/2024-03-14--22-04-16/34-mfcc.npy,-1
35,mfcc_generated/2024-03-14--22-04-16/35-mfcc.npy,-1
36,mfcc_generated/2024-03-14--22-04-16/36-mfcc.npy,-1
37,mfcc_generated/2024-03-14--22-04-16/37-mfcc.npy,-1
38,mfcc_generated/2024-03-14--22-04-16/38-mfcc.npy,-1
39,mfcc_generated/2024-03-14--22-04-16/39-mfcc.npy,-1
40,mfcc_generated/2024-03-14--22-04-16/40-mfcc.npy,-1
41,mfcc_generated/2024-03-14--22-04-16/41-mfcc.npy,-1
42,mfcc_generated/2024-03-14--22-04-16/42-mfcc.npy,-1
43,mfcc_generated/2024-03-14--22-04-16/43-mfcc.npy,-1
44,mfcc_generated/2024-03-14--22-04-16/44-mfcc.npy,-1
45,mfcc_generated/2024-03-14--22-04-16/45-mfcc.npy,-1
46,mfcc_generated/2024-03-14--22-04-16/46-mfcc.npy,-1
47,mfcc_generated/2024-03-14--22-04-16/47-mfcc.npy,-1
48,mfcc_generated/2024-03-14--22-04-16/48-mfcc.npy,-1
49,mfcc_generated/2024-03-14--22-04-16/49-mfcc.npy,-1
50,mfcc_generated/2024-03-14--22-04-16/50-mfcc.npy,-1
51,mfcc_generated/2024-03-14--22-04-16/51-mfcc.npy,-1
52,mfcc_generated/2024-03-14--22-04-16/52-mfcc.npy,-1
53,mfcc_generated/2024-03-14--22-04-16/53-mfcc.npy,-1
54,mfcc_generated/2024-03-14--22-04-16/54-mfcc.npy,-1
55,mfcc_generated/2024-03-14--22-04-16/55-mfcc.npy,-1
56,mfcc_generated/2024-03-14--22-04-16/56-mfcc.npy,-1
57,mfcc_generated/2024-03-14--22-04-16/57-mfcc.npy,-1
58,mfcc_generated/2024-03-14--22-04-16/58-mfcc.npy,-1
59,mfcc_generated/2024-03-14--22-04-16/59-mfcc.npy,-1
60,mfcc_generated/2024-03-14--22-04-16/60-mfcc.npy,-1
61,mfcc_generated/2024-03-14--22-04-16/61-mfcc.npy,-1
62,mfcc_generated/2024-03-14--22-04-16/62-mfcc.npy,-1
63,mfcc_generated/2024-03-14--22-04-16/63-mfcc.npy,-1
64,mfcc_generated/2024-03-14--22-04-16/64-mfcc.npy,-1
65,mfcc_generated/2024-03-14--22-04-16/65-mfcc.npy,-1
66,mfcc_generated/2024-03-14--22-04-16/66-mfcc.npy,-1
67,mfcc_generated/2024-03-14--22-04-16/67-mfcc.npy,-1
68,mfcc_generated/2024-03-14--22-04-16/68-mfcc.npy,-1
69,mfcc_generated/2024-03-14--22-04-16/69-mfcc.npy,-1
70,mfcc_generated/2024-03-14--22-04-16/70-mfcc.npy,-1
71,mfcc_generated/2024-03-14--22-04-16/71-mfcc.npy,-1
72,mfcc_generated/2024-03-14--22-04-16/72-mfcc.npy,-1
73,mfcc_generated/2024-03-14--22-04-16/73-mfcc.npy,-1
74,mfcc_generated/2024-03-14--22-04-16/74-mfcc.npy,-1
75,mfcc_generated/2024-03-14--22-04-16/75-mfcc.npy,-1
76,mfcc_generated/2024-03-14--22-04-16/76-mfcc.npy,-1
77,mfcc_generated/2024-03-14--22-04-16/77-mfcc.npy,-1
78,mfcc_generated/2024-03-14--22-04-16/78-mfcc.npy,-1
79,mfcc_generated/2024-03-14--22-04-16/79-mfcc.npy,-1
80,mfcc_generated/2024-03-14--22-04-16/80-mfcc.npy,-1
