31,31-301-euc_distance-2024-03-02--15-25-46.wav,
6,6-251-euc_distance-2024-03-02--15-25-46.wav, Thank you.
10,10-179-euc_distance-2024-03-02--15-25-46.wav, Lip
10,10-99-euc_distance-2024-03-02--15-25-46.wav, I love it!
13,13-265-euc_distance-2024-03-02--15-25-46.wav, I- I-
38,38-315-euc_distance-2024-03-02--15-25-46.wav, Bye-bye.
31,31-301-euc_distance-2024-03-02--15-25-46.wav,
6,6-251-euc_distance-2024-03-02--15-25-46.wav, Thank you.
10,10-179-euc_distance-2024-03-02--15-25-46.wav, So selat
10,10-99-euc_distance-2024-03-02--15-25-46.wav, annoying content.
13,13-265-euc_distance-2024-03-02--15-25-46.wav, THANKS FOR WATCHING!
38,38-315-euc_distance-2024-03-02--15-25-46.wav, Bye-bye.
17,17-273-euc_distance-2024-03-02--15-25-46.wav, FUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
38,38-235-euc_distance-2024-03-02--15-25-46.wav,
33,33-65-euc_distance-2024-03-02--15-25-46.wav, Like this video?
21,21-41-euc_distance-2024-03-02--15-25-46.wav,はい.
27,27-213-euc_distance-2024-03-02--15-25-46.wav, Bye bye.
38,38-75-euc_distance-2024-03-02--15-25-46.wav, I'm gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who
9,9-337-euc_distance-2024-03-02--15-25-46.wav, but better
18,18-275-euc_distance-2024-03-02--15-25-46.wav,
9,9-17-euc_distance-2024-03-02--15-25-46.wav, The Devil soon!
21,21-281-euc_distance-2024-03-02--15-25-46.wav, That's right.
1,1-81-euc_distance-2024-03-02--15-25-46.wav,
37,37-73-euc_distance-2024-03-02--15-25-46.wav,
35,35-149-euc_distance-2024-03-02--15-25-46.wav, Or another? gì tr отлич AAAA you your 23
8,8-335-euc_distance-2024-03-02--15-25-46.wav, Ow!
18,18-195-euc_distance-2024-03-02--15-25-46.wav,
7,7-253-euc_distance-2024-03-02--15-25-46.wav,
14,14-27-euc_distance-2024-03-02--15-25-46.wav,
8,8-95-euc_distance-2024-03-02--15-25-46.wav,
25,25-49-euc_distance-2024-03-02--15-25-46.wav, Yeah!
20,20-279-euc_distance-2024-03-02--15-25-46.wav, what game do you want this
30,30-139-euc_distance-2024-03-02--15-25-46.wav,
11,11-261-euc_distance-2024-03-02--15-25-46.wav, Alright.
3,3-5-euc_distance-2024-03-02--15-25-46.wav,
