id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-26--13-33-03/for all intensive purposes.wav,0
2,1,for all intents and purposes,for all intents and purposes,generated_audio/tts2024-02-26--13-33-03/for all intents and purposes.wav,0
3,2,nip it in the butt,neck it in the back,generated_audio/tts2024-02-26--13-33-03/nip it in the butt.wav,6
4,2,nip it in the bud,manit in the bed,generated_audio/tts2024-02-26--13-33-03/nip it in the bud.wav,5
5,3,selfdepreciating,selfdepreciating,generated_audio/tts2024-02-26--13-33-03/selfdepreciating.wav,0
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-26--13-33-03/selfdeprecating.wav,0
7,4,escape goat,escape,generated_audio/tts2024-02-26--13-33-03/escape goat.wav,5
8,4,scapegoat,scapegooch,generated_audio/tts2024-02-26--13-33-03/scapegoat.wav,3
9,5,mute point,new,generated_audio/tts2024-02-26--13-33-03/mute point.wav,9
10,5,moot point,no point,generated_audio/tts2024-02-26--13-33-03/moot point.wav,3
11,6,oldtimers disease,alzheimers disease,generated_audio/tts2024-02-26--13-33-03/oldtimers disease.wav,4
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-26--13-33-03/alzheimers disease.wav,0
13,7,doggydog world,dont die world,generated_audio/tts2024-02-26--13-33-03/doggydog world.wav,5
14,7,dogeatdog world,doggie to all her world,generated_audio/tts2024-02-26--13-33-03/dogeatdog world.wav,12
15,8,lack toast and tolerant,like toast and tolerant,generated_audio/tts2024-02-26--13-33-03/lack toast and tolerant.wav,3
16,8,lactose intolerant,lector centaurant,generated_audio/tts2024-02-26--13-33-03/lactose intolerant.wav,8
17,9,bowl in a china shop,well in a china shop,generated_audio/tts2024-02-26--13-33-03/bowl in a china shop.wav,3
18,9,bull in a china shop,low in a china shop,generated_audio/tts2024-02-26--13-33-03/bull in a china shop.wav,4
19,10,deepseeded,its seated,generated_audio/tts2024-02-26--13-33-03/deepseeded.wav,6
20,10,deepseated,each seater soit,generated_audio/tts2024-02-26--13-33-03/deepseated.wav,11
21,11,taken for granite,taken for granted,generated_audio/tts2024-02-26--13-33-03/taken for granite.wav,2
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-26--13-33-03/taken for granted.wav,0
23,12,case and point,case in point,generated_audio/tts2024-02-26--13-33-03/case and point.wav,2
24,12,case in point,case in point,generated_audio/tts2024-02-26--13-33-03/case in point.wav,0
25,13,an escape goat,and escape code,generated_audio/tts2024-02-26--13-33-03/an escape goat.wav,4
26,13,a scapegoat,a scapegoat,generated_audio/tts2024-02-26--13-33-03/a scapegoat.wav,0
27,14,pass mustard,pass mr,generated_audio/tts2024-02-26--13-33-03/pass mustard.wav,5
28,14,pass muster,pass mr,generated_audio/tts2024-02-26--13-33-03/pass muster.wav,4
29,15,on tender hooks,on tender hooks,generated_audio/tts2024-02-26--13-33-03/on tender hooks.wav,0
30,15,on tenterhooks,on tenter hus,generated_audio/tts2024-02-26--13-33-03/on tenterhooks.wav,4
31,16,tongue and cheek,tane and cheek,generated_audio/tts2024-02-26--13-33-03/tongue and cheek.wav,3
32,16,tongue in cheek,to kein cheese,generated_audio/tts2024-02-26--13-33-03/tongue in cheek.wav,6
33,17,card shark,card shark,generated_audio/tts2024-02-26--13-33-03/card shark.wav,0
34,17,card sharp,card shot,generated_audio/tts2024-02-26--13-33-03/card sharp.wav,3
35,18,damp squid,damn squeak,generated_audio/tts2024-02-26--13-33-03/damp squid.wav,4
36,18,damp squib,damn squip,generated_audio/tts2024-02-26--13-33-03/damp squib.wav,2
37,19,curl up in the feeble position,coop in the feeble position,generated_audio/tts2024-02-26--13-33-03/curl up in the feeble position.wav,5
38,19,curl up in the fetal position,call in the fetal position,generated_audio/tts2024-02-26--13-33-03/curl up in the fetal position.wav,5
39,20,a hard road to hoe,a hard road to harm,generated_audio/tts2024-02-26--13-33-03/a hard road to hoe.wav,3
40,20,a hard row to hoe,a hard rail to horn,generated_audio/tts2024-02-26--13-33-03/a hard row to hoe.wav,5
41,21,expatriot,xpatreon,generated_audio/tts2024-02-26--13-33-03/expatriot.wav,3
42,21,expatriate,xpatriate,generated_audio/tts2024-02-26--13-33-03/expatriate.wav,1
