id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-25--12-05-37/for all intensive purposes.wav,0
2,1,for all intents and purposes,for all intents and purposes,generated_audio/tts2024-02-25--12-05-37/for all intents and purposes.wav,0
3,2,nip it in the butt,mac it in the butt it,generated_audio/tts2024-02-25--12-05-37/nip it in the butt.wav,6
4,2,nip it in the bud,neck it in the bend,generated_audio/tts2024-02-25--12-05-37/nip it in the bud.wav,5
5,3,selfdepreciating,selfdeprecating,generated_audio/tts2024-02-25--12-05-37/selfdepreciating.wav,1
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-25--12-05-37/selfdeprecating.wav,0
7,4,escape goat,escape a coat,generated_audio/tts2024-02-25--12-05-37/escape goat.wav,3
8,4,scapegoat,scapegoat,generated_audio/tts2024-02-25--12-05-37/scapegoat.wav,0
9,5,mute point,youd point,generated_audio/tts2024-02-25--12-05-37/mute point.wav,4
10,5,moot point,meet weain,generated_audio/tts2024-02-25--12-05-37/moot point.wav,6
11,6,oldtimers disease,alzheimers disease,generated_audio/tts2024-02-25--12-05-37/oldtimers disease.wav,4
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-25--12-05-37/alzheimers disease.wav,0
13,7,doggydog world,the das we allowed them to call the case globally and our death,generated_audio/tts2024-02-25--12-05-37/doggydog world.wav,55
14,7,dogeatdog world,darky dull rude,generated_audio/tts2024-02-25--12-05-37/dogeatdog world.wav,12
15,8,lack toast and tolerant,like toast and tolerate,generated_audio/tts2024-02-25--12-05-37/lack toast and tolerant.wav,5
16,8,lactose intolerant,like this in tullert,generated_audio/tts2024-02-25--12-05-37/lactose intolerant.wav,12
17,9,bowl in a china shop,la chen xiang zhou xiao,generated_audio/tts2024-02-25--12-05-37/bowl in a china shop.wav,18
18,9,bull in a china shop,the world in a china shop,generated_audio/tts2024-02-25--12-05-37/bull in a china shop.wav,8
19,10,deepseeded,a big city getting easier,generated_audio/tts2024-02-25--12-05-37/deepseeded.wav,22
20,10,deepseated,weeks,generated_audio/tts2024-02-25--12-05-37/deepseated.wav,7
21,11,taken for granite,taken for granted,generated_audio/tts2024-02-25--12-05-37/taken for granite.wav,2
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-25--12-05-37/taken for granted.wav,0
23,12,case and point,case in point,generated_audio/tts2024-02-25--12-05-37/case and point.wav,2
24,12,case in point,case in point,generated_audio/tts2024-02-25--12-05-37/case in point.wav,0
25,13,an escape goat,and escape code,generated_audio/tts2024-02-25--12-05-37/an escape goat.wav,4
26,13,a scapegoat,a skate book,generated_audio/tts2024-02-25--12-05-37/a scapegoat.wav,6
27,14,pass mustard,past mr,generated_audio/tts2024-02-25--12-05-37/pass mustard.wav,6
28,14,pass muster,pass mr,generated_audio/tts2024-02-25--12-05-37/pass muster.wav,4
29,15,on tender hooks,on tender hooks,generated_audio/tts2024-02-25--12-05-37/on tender hooks.wav,0
30,15,on tenterhooks,on dentark hurts,generated_audio/tts2024-02-25--12-05-37/on tenterhooks.wav,7
31,16,tongue and cheek,tain and cheek,generated_audio/tts2024-02-25--12-05-37/tongue and cheek.wav,5
32,16,tongue in cheek,to ensure,generated_audio/tts2024-02-25--12-05-37/tongue in cheek.wav,10
33,17,card shark,card shark,generated_audio/tts2024-02-25--12-05-37/card shark.wav,0
34,17,card sharp,part shark,generated_audio/tts2024-02-25--12-05-37/card sharp.wav,3
35,18,damp squid,tabsquip,generated_audio/tts2024-02-25--12-05-37/damp squid.wav,5
36,18,damp squib,deb squip,generated_audio/tts2024-02-25--12-05-37/damp squib.wav,4
37,19,curl up in the feeble position,curl up in the feeble position,generated_audio/tts2024-02-25--12-05-37/curl up in the feeble position.wav,0
38,19,curl up in the fetal position,curl up in the fetal position,generated_audio/tts2024-02-25--12-05-37/curl up in the fetal position.wav,0
39,20,a hard road to hoe,a hard road to heart,generated_audio/tts2024-02-25--12-05-37/a hard road to hoe.wav,4
40,20,a hard row to hoe,a hard road to our heart,generated_audio/tts2024-02-25--12-05-37/a hard row to hoe.wav,10
41,21,expatriot,x patriot,generated_audio/tts2024-02-25--12-05-37/expatriot.wav,2
42,21,expatriate,xhview competix,generated_audio/tts2024-02-25--12-05-37/expatriate.wav,13
43,22,biting my time,fighting my time dyna,generated_audio/tts2024-02-25--12-05-37/biting my time.wav,8
44,22,biding my time,fighting my time,generated_audio/tts2024-02-25--12-05-37/biding my time.wav,4
45,23,antidotal evidence,and a total evidence,generated_audio/tts2024-02-25--12-05-37/antidotal evidence.wav,5
46,23,anecdotal evidence,and a total evidence,generated_audio/tts2024-02-25--12-05-37/anecdotal evidence.wav,5
47,24,circussized,circus sizeders,generated_audio/tts2024-02-25--12-05-37/circussized.wav,4
48,24,circumcised,circumcised,generated_audio/tts2024-02-25--12-05-37/circumcised.wav,0
49,25,hunger pains,hungry pink eaters,generated_audio/tts2024-02-25--12-05-37/hunger pains.wav,10
50,25,hunger pangs,hunger pangs,generated_audio/tts2024-02-25--12-05-37/hunger pangs.wav,0
51,26,flush out the details,plus at the details,generated_audio/tts2024-02-25--12-05-37/flush out the details.wav,4
52,26,flesh out the details,plus at the details,generated_audio/tts2024-02-25--12-05-37/flesh out the details.wav,5
53,27,hes a wolf in cheap clothing,as a wolf and cheek loving,generated_audio/tts2024-02-25--12-05-37/hes a wolf in cheap clothing.wav,9
