id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-25--14-27-08/for all intensive purposes.wav,0
2,1,for all intents and purposes,for all intents and purposes,generated_audio/tts2024-02-25--14-27-08/for all intents and purposes.wav,0
3,2,nip it in the butt,net it in the back,generated_audio/tts2024-02-25--14-27-08/nip it in the butt.wav,5
4,2,nip it in the bud,net it in the bed,generated_audio/tts2024-02-25--14-27-08/nip it in the bud.wav,3
5,3,selfdepreciating,selfdepreciating,generated_audio/tts2024-02-25--14-27-08/selfdepreciating.wav,0
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-25--14-27-08/selfdeprecating.wav,0
7,4,escape goat,escapeker coke,generated_audio/tts2024-02-25--14-27-08/escape goat.wav,6
8,4,scapegoat,s cake with,generated_audio/tts2024-02-25--14-27-08/scapegoat.wav,6
9,5,mute point,viewpoint,generated_audio/tts2024-02-25--14-27-08/mute point.wav,4
10,5,moot point,was like vegetable dinner like in fact bb maybe yes yes yes in fact yes yes then from saudi arabia to equal for the the coming slowly close just i just hows best,generated_audio/tts2024-02-25--14-27-08/moot point.wav,152
11,6,oldtimers disease,old timers disease,generated_audio/tts2024-02-25--14-27-08/oldtimers disease.wav,1
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-25--14-27-08/alzheimers disease.wav,0
13,7,doggydog world,write a name,generated_audio/tts2024-02-25--14-27-08/doggydog world.wav,13
14,7,dogeatdog world,dont eat dog were looking,generated_audio/tts2024-02-25--14-27-08/dogeatdog world.wav,13
15,8,lack toast and tolerant,let toast and tolerate,generated_audio/tts2024-02-25--14-27-08/lack toast and tolerant.wav,5
16,8,lactose intolerant,let us intoler it,generated_audio/tts2024-02-25--14-27-08/lactose intolerant.wav,7
17,9,bowl in a china shop,bowl in a chinese shop,generated_audio/tts2024-02-25--14-27-08/bowl in a china shop.wav,3
18,9,bull in a china shop,l one in china,generated_audio/tts2024-02-25--14-27-08/bull in a china shop.wav,12
19,10,deepseeded,its seated,generated_audio/tts2024-02-25--14-27-08/deepseeded.wav,6
20,10,deepseated,刚dicc,generated_audio/tts2024-02-25--14-27-08/deepseated.wav,10
21,11,taken for granite,taken for granted,generated_audio/tts2024-02-25--14-27-08/taken for granite.wav,2
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-25--14-27-08/taken for granted.wav,0
23,12,case and point,case in point,generated_audio/tts2024-02-25--14-27-08/case and point.wav,2
24,12,case in point,case in point,generated_audio/tts2024-02-25--14-27-08/case in point.wav,0
25,13,an escape goat,and escape coat,generated_audio/tts2024-02-25--14-27-08/an escape goat.wav,2
26,13,a scapegoat,escape,generated_audio/tts2024-02-25--14-27-08/a scapegoat.wav,6
27,14,pass mustard,passs mr,generated_audio/tts2024-02-25--14-27-08/pass mustard.wav,6
28,14,pass muster,pass mr,generated_audio/tts2024-02-25--14-27-08/pass muster.wav,4
29,15,on tender hooks,on tender hurts,generated_audio/tts2024-02-25--14-27-08/on tender hooks.wav,3
30,15,on tenterhooks,on tent her hux,generated_audio/tts2024-02-25--14-27-08/on tenterhooks.wav,7
31,16,tongue and cheek,take in cheek,generated_audio/tts2024-02-25--14-27-08/tongue and cheek.wav,6
32,16,tongue in cheek,tang and cheat,generated_audio/tts2024-02-25--14-27-08/tongue in cheek.wav,7
33,17,card shark,card shark,generated_audio/tts2024-02-25--14-27-08/card shark.wav,0
34,17,card sharp,card shark,generated_audio/tts2024-02-25--14-27-08/card sharp.wav,1
35,18,damp squid,down squid,generated_audio/tts2024-02-25--14-27-08/damp squid.wav,3
36,18,damp squib,damn squip,generated_audio/tts2024-02-25--14-27-08/damp squib.wav,2
37,19,curl up in the feeble position,crack up in the feeble position,generated_audio/tts2024-02-25--14-27-08/curl up in the feeble position.wav,4
38,19,curl up in the fetal position,card up in the fetal position,generated_audio/tts2024-02-25--14-27-08/curl up in the fetal position.wav,2
39,20,a hard road to hoe,a hard road to hard,generated_audio/tts2024-02-25--14-27-08/a hard road to hoe.wav,3
40,20,a hard row to hoe,a hard road to hard,generated_audio/tts2024-02-25--14-27-08/a hard row to hoe.wav,5
41,21,expatriot,expatriate,generated_audio/tts2024-02-25--14-27-08/expatriot.wav,2
42,21,expatriate,xfatreot,generated_audio/tts2024-02-25--14-27-08/expatriate.wav,5
43,22,biting my time,fighting my time,generated_audio/tts2024-02-25--14-27-08/biting my time.wav,3
44,22,biding my time,fighting my timing,generated_audio/tts2024-02-25--14-27-08/biding my time.wav,7
45,23,antidotal evidence,and the total evidence,generated_audio/tts2024-02-25--14-27-08/antidotal evidence.wav,6
46,23,anecdotal evidence,and actoble evidence,generated_audio/tts2024-02-25--14-27-08/anecdotal evidence.wav,7
47,24,circussized,circus sized,generated_audio/tts2024-02-25--14-27-08/circussized.wav,1
48,24,circumcised,circumcised,generated_audio/tts2024-02-25--14-27-08/circumcised.wav,0
49,25,hunger pains,hunger pains,generated_audio/tts2024-02-25--14-27-08/hunger pains.wav,0
50,25,hunger pangs,hunger panthers,generated_audio/tts2024-02-25--14-27-08/hunger pangs.wav,4
51,26,flush out the details,folicet the daybilir,generated_audio/tts2024-02-25--14-27-08/flush out the details.wav,12
52,26,flesh out the details,flesh out the details,generated_audio/tts2024-02-25--14-27-08/flesh out the details.wav,0
53,27,hes a wolf in cheap clothing,as a wall fin cheap clothing,generated_audio/tts2024-02-25--14-27-08/hes a wolf in cheap clothing.wav,5
54,27,hes a wolf in sheeps clothing,as a wolf in sheeps clothing,generated_audio/tts2024-02-25--14-27-08/hes a wolf in sheeps clothing.wav,2
55,28,premadonna,well meet at preemanando,generated_audio/tts2024-02-25--14-27-08/premadonna.wav,18
56,28,prima donna,cream adonement,generated_audio/tts2024-02-25--14-27-08/prima donna.wav,9
57,29,social leper,social leper,generated_audio/tts2024-02-25--14-27-08/social leper.wav,0
58,29,social pariah,social prime,generated_audio/tts2024-02-25--14-27-08/social pariah.wav,3
59,30,give free rein,efree ring,generated_audio/tts2024-02-25--14-27-08/give free rein.wav,6
60,30,give free reign,if free ring,generated_audio/tts2024-02-25--14-27-08/give free reign.wav,6
61,31,make ends meat,make ends meet,generated_audio/tts2024-02-25--14-27-08/make ends meat.wav,1
62,31,make ends meet,make and meet,generated_audio/tts2024-02-25--14-27-08/make ends meet.wav,2
63,32,right from the gecko,right from the gekro cooper,generated_audio/tts2024-02-25--14-27-08/right from the gecko.wav,8
64,32,right from the getgo,right from the get go,generated_audio/tts2024-02-25--14-27-08/right from the getgo.wav,1
65,33,stock home syndrome,stockholm syndrome,generated_audio/tts2024-02-25--14-27-08/stock home syndrome.wav,3
66,33,stockholm syndrome,stockholm syndrome,generated_audio/tts2024-02-25--14-27-08/stockholm syndrome.wav,0
67,34,chester drawers,chester drawer is theirs,generated_audio/tts2024-02-25--14-27-08/chester drawers.wav,9
68,34,chest of drawers,chest of drawers,generated_audio/tts2024-02-25--14-27-08/chest of drawers.wav,0
69,35,beckon call,back and call,generated_audio/tts2024-02-25--14-27-08/beckon call.wav,4
70,35,beck and call,back and call,generated_audio/tts2024-02-25--14-27-08/beck and call.wav,1
71,36,fullproof,so proof,generated_audio/tts2024-02-25--14-27-08/fullproof.wav,4
72,36,foolproof,full fruth damned,generated_audio/tts2024-02-25--14-27-08/foolproof.wav,14
73,37,two peas in a pot,two peas in a pot,generated_audio/tts2024-02-25--14-27-08/two peas in a pot.wav,0
74,37,two peas in a pod,two peas and a pod,generated_audio/tts2024-02-25--14-27-08/two peas in a pod.wav,2
75,38,on the spurt of the moment,on the spur of the moment,generated_audio/tts2024-02-25--14-27-08/on the spurt of the moment.wav,1
76,38,on the spur of the moment,on the spur of the moment,generated_audio/tts2024-02-25--14-27-08/on the spur of the moment.wav,0
77,39,mindbottling,mind bottling,generated_audio/tts2024-02-25--14-27-08/mindbottling.wav,1
78,39,mindboggling,my bubbling,generated_audio/tts2024-02-25--14-27-08/mindboggling.wav,6
79,40,i plead the fifth commandment,i plead the fifth commandment,generated_audio/tts2024-02-25--14-27-08/i plead the fifth commandment.wav,0
80,40,i plead the fifth amendment,or the 50 minute,generated_audio/tts2024-02-25--14-27-08/i plead the fifth amendment.wav,18
