id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-26--11-43-32/for all intensive purposes.wav,0
2,1,for all intents and purposes,for all of tenson purposes,generated_audio/tts2024-02-26--11-43-32/for all intents and purposes.wav,7
3,2,nip it in the butt,now put in the back,generated_audio/tts2024-02-26--11-43-32/nip it in the butt.wav,7
4,2,nip it in the bud,neck it in the back,generated_audio/tts2024-02-26--11-43-32/nip it in the bud.wav,6
5,3,selfdepreciating,selfdepreciating,generated_audio/tts2024-02-26--11-43-32/selfdepreciating.wav,0
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-26--11-43-32/selfdeprecating.wav,0
7,4,escape goat,a skake hook,generated_audio/tts2024-02-26--11-43-32/escape goat.wav,7
8,4,scapegoat,scapegoat,generated_audio/tts2024-02-26--11-43-32/scapegoat.wav,0
9,5,mute point,youd pour it,generated_audio/tts2024-02-26--11-43-32/mute point.wav,8
10,5,moot point,beat it,generated_audio/tts2024-02-26--11-43-32/moot point.wav,6
11,6,oldtimers disease,old times disease,generated_audio/tts2024-02-26--11-43-32/oldtimers disease.wav,2
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-26--11-43-32/alzheimers disease.wav,0
13,7,doggydog world,tide heat to all growth,generated_audio/tts2024-02-26--11-43-32/doggydog world.wav,19
14,7,dogeatdog world,bake kam for first,generated_audio/tts2024-02-26--11-43-32/dogeatdog world.wav,13
15,8,lack toast and tolerant,like the most intolerant,generated_audio/tts2024-02-26--11-43-32/lack toast and tolerant.wav,11
16,8,lactose intolerant,like toes intolerant,generated_audio/tts2024-02-26--11-43-32/lactose intolerant.wav,6
17,9,bowl in a china shop,low in a china shock,generated_audio/tts2024-02-26--11-43-32/bowl in a china shop.wav,4
18,9,bull in a china shop,low in a china shot,generated_audio/tts2024-02-26--11-43-32/bull in a china shop.wav,5
19,10,deepseeded,its seated,generated_audio/tts2024-02-26--11-43-32/deepseeded.wav,6
20,10,deepseated,its seated,generated_audio/tts2024-02-26--11-43-32/deepseated.wav,4
21,11,taken for granite,taking for granted,generated_audio/tts2024-02-26--11-43-32/taken for granite.wav,4
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-26--11-43-32/taken for granted.wav,0
23,12,case and point,case in point,generated_audio/tts2024-02-26--11-43-32/case and point.wav,2
24,12,case in point,case in point,generated_audio/tts2024-02-26--11-43-32/case in point.wav,0
25,13,an escape goat,and escape code,generated_audio/tts2024-02-26--11-43-32/an escape goat.wav,4
26,13,a scapegoat,a scape,generated_audio/tts2024-02-26--11-43-32/a scapegoat.wav,4
27,14,pass mustard,past mrs,generated_audio/tts2024-02-26--11-43-32/pass mustard.wav,6
28,14,pass muster,pastor sturster,generated_audio/tts2024-02-26--11-43-32/pass muster.wav,6
