text,transcript,filename,tts_distance
for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-25--11-48-08/for all intensive purposes.wav,0
for all intents and purposes,for all intents and purposes,generated_audio/tts2024-02-25--11-48-08/for all intents and purposes.wav,0
nip it in the butt,bit it in the back,generated_audio/tts2024-02-25--11-48-08/nip it in the butt.wav,5
nip it in the bud,neck it in the bag,generated_audio/tts2024-02-25--11-48-08/nip it in the bud.wav,5
selfdepreciating,selfdepreciating,generated_audio/tts2024-02-25--11-48-08/selfdepreciating.wav,0
selfdeprecating,selfdeprecating,generated_audio/tts2024-02-25--11-48-08/selfdeprecating.wav,0
escape goat,a scapegoat,generated_audio/tts2024-02-25--11-48-08/escape goat.wav,3
scapegoat,skipper,generated_audio/tts2024-02-25--11-48-08/scapegoat.wav,7
mute point,youtube,generated_audio/tts2024-02-25--11-48-08/mute point.wav,9
moot point,no key,generated_audio/tts2024-02-25--11-48-08/moot point.wav,8
oldtimers disease,old timers disease,generated_audio/tts2024-02-25--11-48-08/oldtimers disease.wav,1
alzheimers disease,alzheimers disease,generated_audio/tts2024-02-25--11-48-08/alzheimers disease.wav,0
doggydog world,diding on world,generated_audio/tts2024-02-25--11-48-08/doggydog world.wav,7
dogeatdog world,thats it god ruled,generated_audio/tts2024-02-25--11-48-08/dogeatdog world.wav,13
lack toast and tolerant,let toast and tolerant,generated_audio/tts2024-02-25--11-48-08/lack toast and tolerant.wav,3
