id,text,transcript,filename,tts_distance
1,be careful with your prognostications said the stranger,be careful with your prognostications said the stranger,audio_generated/tts2024-03-12--14-43-46/be careful with your prognostications said the stranger.wav,0
2,then why should they be surprised when they see one,then why should they be surprised when they see one,audio_generated/tts2024-03-12--14-43-46/then why should they be surprised when they see one.wav,0
3,a young arab also loaded down with baggage entered and greeted the englishman,a young arrow ball so loaded down with baggage and turned greeted the english,audio_generated/tts2024-03-12--14-43-46/a young arab also loaded down with baggage entered and greeted the englishman.wav,18
4,i thought that everything i owned would be destroyed,i felt that everything i own would be distraught,audio_generated/tts2024-03-12--14-43-46/i thought that everything i owned would be destroyed.wav,14
5,he moved about invisible but everyone could hear him,he moved about invisible but everyone could hear harry,audio_generated/tts2024-03-12--14-43-46/he moved about invisible but everyone could hear him.wav,4
6,but everything had changed,but everything had changed,audio_generated/tts2024-03-12--14-43-46/but everything had changed.wav,0
7,are you sure this is claire,are you sure this is clear,audio_generated/tts2024-03-12--14-43-46/are you sure this is claire.wav,3
8,it had told him to dig where his tears fell,it had told him to do where his chairs fell,audio_generated/tts2024-03-12--14-43-46/it had told him to dig where his tears fell.wav,5
9,the shop folks were taking down their shutters and people were opening their bedroom windows,the shop folks were taking down their shutters and people were opening their bedroom windows,audio_generated/tts2024-03-12--14-43-46/the shop folks were taking down their shutters and people were opening their bedroom windows.wav,0
10,the teacher thought that hed taught himself all he could,the teacher thought that had taught himself all he could cook heek,audio_generated/tts2024-03-12--14-43-46/the teacher thought that hed taught himself all he could.wav,11
11,the boy stepped closer to the girl and when she smiled he did the same,the boy stepped closer to the girl and when she smiled he did the sea,audio_generated/tts2024-03-12--14-43-46/the boy stepped closer to the girl and when she smiled he did the same.wav,3
12,you havent seen anything yet,you havent seen anything yet eh,audio_generated/tts2024-03-12--14-43-46/you havent seen anything yet.wav,3
13,but i found it difficult to get to work because of the investigations,but i found it difficult to get to work because of the investigations,audio_generated/tts2024-03-12--14-43-46/but i found it difficult to get to work because of the investigations.wav,0
14,in those days very few of the people had any idea about astronomy,in those days very few the people had any idea about astronomy,audio_generated/tts2024-03-12--14-43-46/in those days very few of the people had any idea about astronomy.wav,3
