id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-25--16-58-35/for all intensive purposes.wav,0
2,1,for all intents and purposes,for all intents and purposes,generated_audio/tts2024-02-25--16-58-35/for all intents and purposes.wav,0
3,2,nip it in the butt,net in the bet,generated_audio/tts2024-02-25--16-58-35/nip it in the butt.wav,6
4,2,nip it in the bud,necker in the belly,generated_audio/tts2024-02-25--16-58-35/nip it in the bud.wav,9
5,3,selfdepreciating,selfdepreciating,generated_audio/tts2024-02-25--16-58-35/selfdepreciating.wav,0
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-25--16-58-35/selfdeprecating.wav,0
7,4,escape goat,escape,generated_audio/tts2024-02-25--16-58-35/escape goat.wav,5
8,4,scapegoat,scape,generated_audio/tts2024-02-25--16-58-35/scapegoat.wav,4
9,5,mute point,newt point,generated_audio/tts2024-02-25--16-58-35/mute point.wav,4
10,5,moot point,beat,generated_audio/tts2024-02-25--16-58-35/moot point.wav,9
11,6,oldtimers disease,alternatives disease,generated_audio/tts2024-02-25--16-58-35/oldtimers disease.wav,8
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-25--16-58-35/alzheimers disease.wav,0
13,7,doggydog world,dolly dog reward,generated_audio/tts2024-02-25--16-58-35/doggydog world.wav,7
14,7,dogeatdog world,dagiwww world,generated_audio/tts2024-02-25--16-58-35/dogeatdog world.wav,7
15,8,lack toast and tolerant,let toast and tolerate,generated_audio/tts2024-02-25--16-58-35/lack toast and tolerant.wav,5
16,8,lactose intolerant,like this intolerant,generated_audio/tts2024-02-25--16-58-35/lactose intolerant.wav,7
17,9,bowl in a china shop,load the chain of shot,generated_audio/tts2024-02-25--16-58-35/bowl in a china shop.wav,12
18,9,bull in a china shop,low in a china shop,generated_audio/tts2024-02-25--16-58-35/bull in a china shop.wav,4
19,10,deepseeded,a predatory,generated_audio/tts2024-02-25--16-58-35/deepseeded.wav,10
20,10,deepseated,deep stated,generated_audio/tts2024-02-25--16-58-35/deepseated.wav,2
21,11,taken for granite,taken for granted,generated_audio/tts2024-02-25--16-58-35/taken for granite.wav,2
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-25--16-58-35/taken for granted.wav,0
23,12,case and point,case and point,generated_audio/tts2024-02-25--16-58-35/case and point.wav,0
24,12,case in point,case in point,generated_audio/tts2024-02-25--16-58-35/case in point.wav,0
25,13,an escape goat,and escape the code,generated_audio/tts2024-02-25--16-58-35/an escape goat.wav,8
26,13,a scapegoat,a staple,generated_audio/tts2024-02-25--16-58-35/a scapegoat.wav,6
