id,pair_id,text,transcript,filename,tts_distance
1,1,for all intensive purposes,for all intensive purposes,generated_audio/tts2024-02-25--20-17-34/for all intensive purposes.wav,0
2,1,for all intents and purposes,full of all intense and purposes,generated_audio/tts2024-02-25--20-17-34/for all intents and purposes.wav,7
3,2,nip it in the butt,neck it in the back,generated_audio/tts2024-02-25--20-17-34/nip it in the butt.wav,6
4,2,nip it in the bud,mac is in the bed,generated_audio/tts2024-02-25--20-17-34/nip it in the bud.wav,5
5,3,selfdepreciating,self accuracy ad,generated_audio/tts2024-02-25--20-17-34/selfdepreciating.wav,12
6,3,selfdeprecating,selfdeprecating,generated_audio/tts2024-02-25--20-17-34/selfdeprecating.wav,0
7,4,escape goat,escape code,generated_audio/tts2024-02-25--20-17-34/escape goat.wav,3
8,4,scapegoat,stay p긴astic,generated_audio/tts2024-02-25--20-17-34/scapegoat.wav,8
9,5,mute point,you deemed,generated_audio/tts2024-02-25--20-17-34/mute point.wav,10
10,5,moot point,least,generated_audio/tts2024-02-25--20-17-34/moot point.wav,9
11,6,oldtimers disease,old timers disease,generated_audio/tts2024-02-25--20-17-34/oldtimers disease.wav,1
12,6,alzheimers disease,alzheimers disease,generated_audio/tts2024-02-25--20-17-34/alzheimers disease.wav,0
13,7,doggydog world,daddy dog world,generated_audio/tts2024-02-25--20-17-34/doggydog world.wav,4
14,7,dogeatdog world,doggy to call more loot,generated_audio/tts2024-02-25--20-17-34/dogeatdog world.wav,15
15,8,lack toast and tolerant,like toast and tolerant heat,generated_audio/tts2024-02-25--20-17-34/lack toast and tolerant.wav,8
16,8,lactose intolerant,lactos and tolerate,generated_audio/tts2024-02-25--20-17-34/lactose intolerant.wav,6
17,9,bowl in a china shop,low in a china shop,generated_audio/tts2024-02-25--20-17-34/bowl in a china shop.wav,2
18,9,bull in a china shop,low in a china shop,generated_audio/tts2024-02-25--20-17-34/bull in a china shop.wav,4
19,10,deepseeded,didstlış conservatives sends syndromes to just a larger number of producers including the confederated ministers baghdad iii manuer –tiled buggereloads piquelur eventually enters the occupied world,generated_audio/tts2024-02-25--20-17-34/deepseeded.wav,187
20,10,deepseated,its seated,generated_audio/tts2024-02-25--20-17-34/deepseated.wav,4
21,11,taken for granite,taken for granted,generated_audio/tts2024-02-25--20-17-34/taken for granite.wav,2
22,11,taken for granted,taken for granted,generated_audio/tts2024-02-25--20-17-34/taken for granted.wav,0
23,12,case and point,case in point,generated_audio/tts2024-02-25--20-17-34/case and point.wav,2
24,12,case in point,case in point,generated_audio/tts2024-02-25--20-17-34/case in point.wav,0
25,13,an escape goat,and escape,generated_audio/tts2024-02-25--20-17-34/an escape goat.wav,6
26,13,a scapegoat,a skate book,generated_audio/tts2024-02-25--20-17-34/a scapegoat.wav,6
27,14,pass mustard,pass mrd,generated_audio/tts2024-02-25--20-17-34/pass mustard.wav,4
28,14,pass muster,pass mr,generated_audio/tts2024-02-25--20-17-34/pass muster.wav,4
29,15,on tender hooks,on tender hooks,generated_audio/tts2024-02-25--20-17-34/on tender hooks.wav,0
30,15,on tenterhooks,on tanto husk,generated_audio/tts2024-02-25--20-17-34/on tenterhooks.wav,6
31,16,tongue and cheek,team chief,generated_audio/tts2024-02-25--20-17-34/tongue and cheek.wav,9
32,16,tongue in cheek,to insheed,generated_audio/tts2024-02-25--20-17-34/tongue in cheek.wav,7
33,17,card shark,controller,generated_audio/tts2024-02-25--20-17-34/card shark.wav,9
34,17,card sharp,cards shop,generated_audio/tts2024-02-25--20-17-34/card sharp.wav,3
35,18,damp squid,tab squid,generated_audio/tts2024-02-25--20-17-34/damp squid.wav,3
36,18,damp squib,down squared,generated_audio/tts2024-02-25--20-17-34/damp squib.wav,7
37,19,curl up in the feeble position,curve up in the fetal position,generated_audio/tts2024-02-25--20-17-34/curl up in the feeble position.wav,5
38,19,curl up in the fetal position,curre up in the fetal position,generated_audio/tts2024-02-25--20-17-34/curl up in the fetal position.wav,2
39,20,a hard road to hoe,a hard road to horror,generated_audio/tts2024-02-25--20-17-34/a hard road to hoe.wav,4
40,20,a hard row to hoe,a hard road to harder,generated_audio/tts2024-02-25--20-17-34/a hard row to hoe.wav,6
41,21,expatriot,xpatriot,generated_audio/tts2024-02-25--20-17-34/expatriot.wav,1
42,21,expatriate,3x spratt vent at,generated_audio/tts2024-02-25--20-17-34/expatriate.wav,12
43,22,biting my time,biting my time,generated_audio/tts2024-02-25--20-17-34/biting my time.wav,0
44,22,biding my time,fighting my time,generated_audio/tts2024-02-25--20-17-34/biding my time.wav,4
45,23,antidotal evidence,and to dull evidence,generated_audio/tts2024-02-25--20-17-34/antidotal evidence.wav,7
